"Age, ka","Elevation, m"
1.8,6
3.2,2
4.6,-1
6,1
7.4,-13
8.8,-31
10.2,-35
11.6,-50
13,-83
14.5,-91
15.9,-89
17.3,-111
18.7,-118
20.1,-109
21.5,-110
22.7,-101
23.8,-87
25,-83
26.1,-81
27.3,-73
28.4,-66
29.6,-63
30.7,-52
31.8,-50
32.9,-69
34,-97
35.1,-101
36.2,-80
37.4,-71
38.5,-67
39.6,-65
40.7,-67
41.8,-73
42.9,-86
44,-83
45.1,-65
46.2,-60
47.3,-69
48.4,-76
49.5,-78
50.7,-75
51.8,-79
52.9,-81
54.2,-69
55.1,-54
56.2,-55
59.3,-66
62.4,-74
63.7,-83
65,-80
66.2,-76
67.5,-81
68.9,-69
70.3,-47
71.8,-47
73.2,-51
74.6,-38
76.9,-19
79.2,-11
81.5,-14
83.8,-22
85.5,-34
87.2,-45
88.9,-42
90.4,-30
92,-29
93.5,-41
95,-42
98.1,-31
101.1,-22
104.2,-18
107.6,-20
111,-30
114.4,-31
116.5,-6
118.5,0
120.6,-9
122.6,-5
124.7,-1
126.7,-22
132.8,-63
134,-97
135.1,-120
136.3,-119
137.3,-100
138.7,-103
139.8,-124
141,-122
142.4,-89
143.8,-72
145.2,-81
146.6,-89
148,-91
149.4,-77
150.8,-63
152.8,-68
154.7,-80
156.7,-84
159.2,-87
161.7,-94
164.2,-87
166.7,-73
168.7,-57
171.7,-42
174.2,-32
176.4,-29
178.3,-30
180.3,-37
182.3,-49
184.2,-57
186.2,-56
187.7,-49
189.2,-42
190.6,-28
192.1,-10
196,3
199.9,7
201.7,-4
203.5,-27
205.2,-36
207,-35
208.8,-42
212.4,-36
216,-18
219.6,-13
221.1,-27
222.6,-45
224,-50
225.5,-46
227,-54
228.5,-56
229.9,-49
231.4,-61
233.9,-72
236.3,-54
238.8,-10
241.2,11
243.2,-13
245.1,-60
247.1,-98
248.4,-107
249.1,-111
249.7,-106
250.4,-92
251,-89
251.7,-89
252.3,-88
253,-79
254.1,-62
254.4,-67
255.8,-76
257.2,-66
258.6,-56
260,-56
262.4,-73
264.8,-87
267.3,-82
269.7,-79
272.1,-81
275.7,-75
279.3,-68
283,-61
286.6,-47
290.2,-45
291.5,-60
292.9,-73
294.2,-72
295.6,-53
296.9,-36
298.3,-42
299.6,-53
301,-57
302.3,-68
305.1,-70
307.8,-62
310.6,-43
313.3,-17
314.8,-18
316.3,-30
317.8,-35
319.3,-29
320.8,-20
322.3,-23
323.9,-28
325.4,-24
326.9,-21
328.4,-27
329.9,-22
331.4,-15
332.9,-20
334.4,-20
338,-36
341.5,-81
342.1,-115
342.8,-117
343.4,-111
344,-106
344.6,-97
345.3,-105
345.9,-120
346.5,-115
349.5,-99
352.5,-92
355.5,-92
358.5,-80
361.5,-62
361.7,-76
365.34,-67.33333333
369.24,-98.66666667
373.01,-70.66666667
376.09,-70.66666667
378.57,-69.33333333
381.36,-62.66666667
384.2,-68
387.72,-56.66666667
391.48,-43.33333333
396,-48.66666667
398.7,-28
398.7,-30.66666667
400.2,-30
401.66,-12.66666667
401.66,-4.666666667
403.9,-9.333333333
404.74,-14.66666667
404.74,-10.66666667
407.82,9.333333333
407.82,-9.333333333
410.9,-20
410.9,-12
413.65,-18.66666667
413.65,-17.33333333
416.68,-27.33333333
419.76,-40.66666667
419.76,-45.33333333
422.56,-84.66666667
426.48,-97.33333333
429.28,-98.66666667
429.28,-133.3333333
