"Age, ka","Elevation, m"
0,0
1,0
2,4
3,-4.8
4,-5.6
5,-2.4
6,-8
7,-11.2
8,-15.2
9,-12
10,-23.2
11,-29.6
12,-55.2
13,-66.4
14,-84
15,-100.8
16,-121.6
17,-132
18,-143.2
19,-138.4
20,-140.8
21,-134.4
22,-132
23,-130.4
24,-126.4
25,-127.2
26,-115.2
27,-121.6
28,-121.6
29,-120
30,-111.2
31,-111.2
32,-109.6
33,-108
34,-108.8
35,-104.8
36,-97.6
37,-98.4
38,-94.4
39,-105.6
40,-105.6
41,-102.4
42,-101.6
43,-98.4
44,-100
45,-88
46,-90.4
47,-92
48,-97.6
49,-98.4
50,-88.8
51,-88
52,-86.4
53,-96.8
54,-92
55,-86.4
56,-89.6
57,-96
58,-100.8
59,-96
60,-109.6
61,-102.4
62,-109.6
63,-104
64,-90.4
65,-100
66,-107.2
67,-96.8
68,-95.2
69,-99.2
70,-87.2
71,-79.2
72,-78.4
73,-80
74,-64
75,-57.6
76,-66.4
77,-68
78,-65.6
79,-65.6
80,-53.6
81,-47.2
82,-45.6
83,-48
84,-47.2
85,-57.6
86,-66.4
87,-76
88,-70.4
89,-68
90,-66.4
91,-64
92,-60
93,-53.6
94,-48.8
95,-43.2
96,-41.6
97,-48
98,-53.6
99,-44
100,-46.4
101,-55.2
102,-50.4
103,-52
104,-55.2
105,-49.6
106,-61.6
107,-64.8
108,-70.4
109,-71.2
110,-64.8
111,-63.2
112,-64
113,-56
114,-46.4
115,-38.4
116,-28
117,-24.8
118,-16.8
119,-5.6
120,-3.2
121,-2.4
122,4
123,10.4
124,-3.2
125,7.2
126,5.6
127,-11.2
128,-38.4
129,-53.6
130,-35.2
131,-46.4
132,-77.6
133,-94.4
134,-117.6
135,-130.4
136,-127.2
137,-125.6
138,-132.8
139,-131.2
140,-140
141,-126.4
142,-121.6
143,-124
144,-127.2
145,-120.8
146,-123.2
147,-127.2
148,-118.4
149,-121.6
150,-121.6
151,-114.4
152,-112.8
153,-111.2
154,-114.4
155,-102.4
156,-124
157,-120.8
158,-116.8
159,-114.4
160,-116.8
161,-113.6
162,-114.4
163,-117.6
164,-116
165,-116
166,-100
167,-94.4
168,-100
169,-101.6
170,-101.6
171,-104
172,-98.4
173,-92
174,-84
175,-87.2
176,-92.8
177,-98.4
178,-96.8
179,-100
180,-92.8
181,-98.4
182,-100
183,-91.2
184,-93.6
185,-108.8
186,-99.2
187,-93.6
188,-98.4
189,-92.8
190,-84
191,-72
192,-42.4
193,-55.2
194,-48.8
195,-54.4
196,-47.2
197,-40.8
198,-47.2
199,-27.2
200,-24
201,-24
202,-32
203,-30.4
204,-44
205,-47.2
206,-43.2
207,-44
208,-38.4
209,-32.8
210,-27.2
211,-29.6
212,-30.4
213,-33.6
214,-26.4
215,-24.8
216,-24
217,-20
218,-39.2
219,-56.8
220,-60
221,-80
222,-92
223,-96.8
224,-92.8
225,-84
226,-84.8
227,-76.8
228,-76.8
229,-63.2
230,-85.6
231,-79.2
232,-75.2
233,-59.2
234,-48.8
235,-38.4
236,-34.4
237,-19.2
238,-22.4
239,-16.8
240,-16.8
241,-24.8
242,-36
243,-44
244,-65.6
245,-75.2
246,-92
247,-86.4
248,-92
249,-90.4
250,-101.6
251,-108
252,-112
253,-103.2
254,-107.2
255,-91.2
256,-96
257,-105.6
258,-102.4
259,-103.2
260,-98.4
261,-103.2
262,-97.6
263,-98.4
264,-95.2
265,-96.8
266,-101.6
267,-101.6
268,-88
269,-103.2
270,-102.4
271,-101.6
272,-96.8
273,-96.8
274,-92
275,-92
276,-85.6
277,-96.8
278,-86.4
279,-80
280,-72.8
281,-78.4
282,-60
283,-51.2
284,-50.4
285,-48.8
286,-47.2
287,-52.8
288,-63.2
289,-66.4
290,-69.6
291,-70.4
292,-83.2
293,-79.2
294,-88
295,-86.4
296,-80
297,-85.6
298,-75.2
299,-80
300,-63.2
301,-66.4
302,-66.4
303,-61.6
304,-67.2
305,-67.2
306,-65.6
307,-61.6
308,-49.6
309,-50.4
310,-45.6
311,-37.6
312,-44.8
313,-36.8
314,-43.2
315,-31.2
316,-36.8
317,-52.8
318,-42.4
319,-28
320,-34.4
321,-24
322,-24
323,-19.2
324,1.6
325,-6.4
