"Age, ka","Elevation, m"
0,-1.6
5,-3.3
10,-52.4
15,-120.4
20,-122.2
25,-99.1
30,-102.6
35,-91
40,-85.7
45,-80.4
50,-75.3
55,-87.8
60,-76.1
65,-85.2
70,-57.9
75,-52.9
80,-47.4
85,-49
90,-55.1
95,-50.6
100,-39.2
105,-42.8
110,-72.4
115,-4.3
120,24
125,-1.9
130,-76.3
135,-96.9
140,-107.7
145,-97
150,-93.9
155,-102.2
160,-90.3
165,-78.5
170,-67.8
175,-72
180,-81.7
185,-45.3
190,-49
195,-18.2
200,-34.2
205,-17.6
210,-13.4
215,-7.3
220,-23.6
225,-74.1
230,-68.3
235,-59.5
240,-28.6
245,-60.3
250,-66.8
255,-85.4
260,-79.1
265,-79.7
270,-86
275,-54.1
280,-43.4
285,-39.3
290,-39.5
295,-55.8
300,-45.8
305,-39.7
310,-34.8
315,-23
320,-31.4
325,11.1
330,-16.8
335,-26
340,-83.1
345,-96.8
350,-92
355,-90.6
360,-104
365,-55.4
370,-85.2
375,-58.4
380,-52.7
385,-52.1
390,-31.9
395,-30.6
400,-9.5
405,12.5
410,12.8
415,-0.2
420,-29.5
425,-84.7
430,-115.3
435,-122.1
440,-122.7
445,-102.4
450,-84.8
455,-87.5
460,-82.7
465,-99.9
470,-96.7
475,-73.7
480,-53.4
485,-35
490,-34.9
495,-39.7
500,-23.4
505,-60.8
510,-68.6
515,-78.8
520,-61.2
525,-54.8
530,-78.3
535,-75.3
540,-84.6
545,-73.7
550,-66.5
555,-73
560,-65
565,-50.6
570,-41.6
575,-25.6
580,-25.6
585,-67.6
590,-79.1
595,-56.5
600,-49
605,-52.8
610,-39.2
615,-50.7
620,-72.9
625,-117.8
630,-124.2
635,-114.3
640,-122.7
645,-111.9
650,-106.4
655,-101.6
660,-93.3
665,-80.5
670,-91.7
675,80
680,-82.8
685,-82.4
690,-53.8
695,-62.2
700,-70.5
705,-78.9
710,-87.2
715,-95.1
720,-96.4
725,-63.7
730,-70.4
735,-75.5
740,-77.6
745,-73.6
750,-86.1
755,-91.5
760,-85.4
765,-62.3
770,-53
775,-45.1
780,-21.8
785,-44.2
790,-48.5
795,-98
800,-82.5
805,-77.2
810,-58.6
815,-41.3
820,-55.7
825,-52.6
830,-51.1
835,-48.4
840,-27.6
845,-24.3
850,-36.2
855,-33
860,-19.3
865,-61.6
870,-83.6
875,-109.3
880,-106.9
885,-93.7
890,-90.1
895,-84.3
900,-64.2
905,-60.3
910,-74.6
915,-89.1
920,-66.8
925,-51.5
