"Age, ka","Elevation, m"
0,0.00
1,0.00
2,0.00
3,0.00
4,0.00
5,0.00
6,-4.01
7,-6.11
8,-9.09
9,-15.83
10,-24.59
11,-35.85
12,-51.05
13,-66.3
14,-76.64
15,-86.57
16,-98.06
17,-107.3
18,-113.01
19,-116.68
20,-117.56
21,-120.01
22,-125.82
23,-128.72
24,-130.00
25,-126.81
26,-122.10
27,-117.63
28,-114.06
29,-109.16
30,-103.38
31,-100.33
32,-96.61
33,-92.55
34,-91.48
35,-91.94
36,-91.47
37,-86.30
38,-83.07
39,-79.22
40,-73.79
41,-66.65
42,-61.69
43,-58.93
44,-60.35
45,-57.89
46,-58.49
47,-55.83
48,-58.36
49,-55.05
50,-49.38
51,-44.11
52,-49.41
53,-51.83
54,-55.15
55,-59.95
56,-68.53
57,-76.05
58,-81.61
59,-80.96
60,-84.20
61,-86.56
62,-84.29
63,-84.63
64,-83.23
65,-82.28
66,-81.81
67,-78.46
68,-69.86
69,-66.61
70,-63.56
71,-49.27
72,-44.21
73,-41.00
74,-33.01
75,-29.56
76,-27.78
77,-23.60
78,-24.46
79,-28.39
80,-26.10
81,-26.48
82,-24.67
83,-20.57
84,-26.18
85,-26.75
86,-37.01
87,-42.57
88,-46.60
89,-43.23
90,-42.85
91,-38.66
92,-38.97
93,-38.27
94,-35.41
95,-27.94
96,-20.38
97,-13.97
98,-12.40
99,-8.26
100,-10.67
101,-9.39
102,-17.44
103,-22.80
104,-26.10
105,-29.86
106,-36.94
107,-42.68
108,-43.07
109,-45.28
110,-46.18
111,-47.08
112,-43.07
113,-38.51
114,-32.98
115,-24.76
116,-20.50
117,-11.50
118,-4.42
119,-0.42
120,6.57
121,7.13
122,6.22
123,5.01
124,2.40
125,-3.35
126,-9.76
127,-24.51
128,-33.93
129,-51.15
130,-72.31
131,-81.89
132,-101.44
133,-113.96
134,-120.07
135,-123.71
136,-123.95
137,-123.55
138,-122.48
139,-120.41
140,-117.96
141,-112.05
142,-108.80
143,-104.12
144,-99.04
145,-96.19
146,-95.70
147,-93.61
148,-92.32
149,-89.10
150,-81.93
151,-77.03
152,-74.96
153,-73.22
154,-73.85
155,-75.60
156,-77.37
157,-76.51
158,-71.77
159,-69.85
160,-67.96
161,-65.44
162,-58.10
163,-55.71
164,-52.40
165,-49.06
166,-42.21
167,-38.22
168,-37.76
169,-34.22
170,-31.34
171,-33.99
172,-41.62
173,-41.65
174,-42.35
175,-43.64
176,-48.13
177,-49.41
178,-55.23
179,-60.10
180,-61.90
181,-64.33
182,-66.09
183,-67.69
184,-70.00
185,-71.50
186,-67.51
187,-64.13
188,-58.98
189,-55.74
190,-50.97
191,-44.91
192,-37.30
193,-32.83
194,-32.43
195,-26.14
196,-21.70
197,-13.48
198,-10.09
199,-7.72
200,-11.24
201,-19.54
202,-21.50
203,-26.54
204,-23.73
205,-14.39
206,-9.84
207,-14.10
208,-10.13
209,-10.60
210,-11.47
211,-9.45
212,-7.38
213,-6.78
214,-7.05
215,-9.18
216,-13.10
217,-23.51
218,-29.26
219,-36.81
220,-49.33
221,-61.75
222,-67.03
223,-73.68
224,-72.15
225,-74.35
226,-70.48
227,-66.14
228,-63.89
229,-62.47
230,-55.35
231,-46.45
232,-35.52
233,-24.18
234,-18.03
235,-12.12
236,-5.23
237,0.56
238,-4.93
239,-11.52
240,-17.23
241,-26.70
242,-37.22
243,-46.88
244,-52.23
245,-49.47
246,-69.03
247,-77.51
248,-84.39
249,-86.74
250,-90.86
251,-93.88
252,-94.39
253,-95.65
254,-91.91
255,-86.65
256,-89.75
257,-92.57
258,-92.25
259,-87.83
260,-78.33
261,-74.83
262,-73.40
263,-72.35
264,-79.32
265,-77.54
266,-74.11
267,-73.79
268,-83.09
