"Age, ka","Elevation, m"
0,0
1,0.86
2,1.69
3,2.5
4,3.29
5,4.05
6,0.78
7,-0.6
8,-2.88
9,-8.95
10,-17.06
11,-27.69
12,-42.28
13,-56.94
14,-66.72
15,-76.1
16,-87.07
17,-95.8
18,-101.02
19,-104.22
20,-104.65
21,-106.67
22,-112.07
23,-114.58
24,-115.48
25,-112.01
26,-107.18
27,-102.74
28,-99.34
29,-94.73
30,-89.36
31,-86.83
32,-83.71
33,-80.33
34,-80.01
35,-81.27
36,-81.64
37,-77.35
38,-75.03
39,-72.08
40,-67.55
41,-61.29
42,-57.19
43,-55.25
44,-57.43
45,-55.68
46,-56.91
47,-54.78
48,-57.75
49,-54.77
50,-49.3
51,-44.11
52,-48.92
53,-50.01
54,-51.4
55,-53.86
56,-59.95
57,-65.03
58,-68.43
59,-66.13
60,-68.43
61,-70.81
62,-69.15
63,-70.18
64,-69.53
65,-69.41
66,-69.81
67,-67.37
68,-59.72
69,-57.42
70,-55.34
71,-42
72,-37.88
73,-35.59
74,-28.48
75,-25.87
76,-24.86
77,-21.4
78,-22.88
79,-27.35
80,-25.5
81,-26.2
82,-24.6
83,-20.57
84,-25.62
85,-24.82
86,-33.4
87,-37.47
88,-40.67
89,-37.17
90,-37
91,-33.3
92,-34.3
93,-34.43
94,-32.45
95,-25.87
96,-19.11
97,-13.36
98,-12.23
99,-8.26
100,-10.52
101,-8.84
102,-16.28
103,-20.91
104,-23.37
105,-26.27
106,-32.53
107,-37.51
108,-37.31
109,-39.11
110,-39.86
111,-40.92
112,-37.35
113,-33.43
114,-28.64
115,-21.26
116,-17.84
117,-9.65
118,-3.31
119,0.12
120,6.71
121,7.13
122,6.29
123,5.3
124,3.04
125,-2.27
126,-8.14
127,-22.27
128,-31.02
129,-47.52
130,-67.94
131,-76.77
132,-95.57
133,-107.37
134,-112.78
135,-115.79
136,-115.47
137,-114.61
138,-113.17
139,-110.83
140,-108.19
141,-102.17
142,-98.91
143,-94.28
144,-89.32
145,-86.65
146,-86.4
147,-84.6
148,-83.65
149,-80.81
150,-74.07
151,-69.61
152,-68.01
153,-66.77
154,-67.91
155,-70.19
156,-72.48
157,-72.15
158,-67.92
159,-66.51
160,-65.11
161,-63.07
162,-56.17
163,-54.19
164,-51.25
165,-48.24
166,-41.67
167,-37.91
168,-37.62
169,-34.18
170,-31.34
171,-33.72
172,-40.6
173,-39.48
174,-38.72
175,-38.32
176,-40.95
177,-40.31
178,-44.21
179,-47.26
180,-47.41
181,-48.45
182,-49.15
183,-50.11
184,-52.29
185,-54.22
186,-51.01
187,-48.42
188,-44.08
189,-41.66
190,-37.72
191,-32.49
192,-25.72
193,-22.08
194,-22.51
195,-17.04
196,-13.41
197,-5.98
198,-3.37
199,-1.74
200,-5.99
201,-14.98
202,-17.59
203,-23.25
204,-21.02
205,-12.21
206,-8.14
207,-12.83
208,-9.23
209,-10.02
210,-11.14
211,-9.3
212,-7.34
213,-6.78
214,-7.01
215,-9.03
216,-12.77
217,-22.94
218,-28.39
219,-35.6
220,-47.72
221,-59.71
222,-64.52
223,-70.67
224,-68.62
225,-70.28
226,-66.05
227,-61.69
228,-59.7
229,-58.75
230,-52.25
231,-44.06
232,-33.85
233,-23.19
234,-17.61
235,-12.1
236,-5.36
237,0.56
238,-4.51
239,-10.47
240,-15.37
241,-23.88
242,-33.32
243,-41.82
244,-45.93
245,-41.92
246,-60.23
247,-67.47
248,-73.19
249,-74.46
250,-77.62
251,-79.83
252,-79.7
253,-80.54
254,-76.55
255,-71.18
256,-74.28
257,-77.21
258,-77.1
259,-72.99
260,-63.88
261,-60.85
262,-59.96
263,-59.52
264,-67.15
265,-66.07
266,-63.38
267,-63.83
268,-73.93
269,-77.84
270,-78.65
271,-70.21
272,-60.3
273,-56.04
274,-54.14
275,-47.18
276,-41.35
277,-36.14
278,-32.81
279,-29.33
280,-25.19
281,-18.96
282,-16.97
283,-15.7
284,-14.06
285,-14.26
286,-15.74
287,-17.22
288,-22.34
289,-31.84
290,-37.09
291,-39.4
292,-37.95
293,-36.85
294,-35.83
295,-35.66
296,-32.92
297,-33.05
298,-33.07
299,-31.59
300,-29.95
301,-27.49
302,-26.74
303,-22.64
304,-25.77
305,-30.69
306,-27.88
307,-23.48
308,-24.81
309,-22.43
310,-19.4
311,-18.25
312,-18.62
313,-15.82
314,-10.42
315,-10.72
316,-8.98
317,-10.05
318,-10.89
319,-11.66
320,-9.07
321,-7.75
322,-3.47
323,-1.71
324,-3.57
325,-8.66
326,-8.51
327,-3.64
328,-0.97
329,-1.84
330,-6.69
331,-15.85
332,-33.07
333,-35.56
334,-46.23
335,-56.11
336,-71.6
337,-82.34
338,-87.3
339,-88.77
340,-91.74
341,-98.15
342,-101.75
343,-101.58
344,-101.14
345,-100.72
346,-96.85
347,-93.64
348,-92.32
349,-90.02
350,-85.36
351,-77.63
352,-72.13
353,-70.37
354,-72.22
355,-76.23
356,-79.45
357,-76.9
358,-75.24
359,-71.45
360,-67.08
361,-60.71
362,-52.52
363,-47.02
364,-46.97
365,-45.32
366,-37.17
367,-30.09
368,-28.64
369,-27.24
370,-28.41
371,-28.25
372,-25.86
373,-27.58
374,-26.92
375,-30.1
376,-28.75
377,-31.4
378,-31.47
379,-20.44
380,-9.88
381,-8
382,-13.52
383,-13.14
384,-13.3
385,-11.85
386,-9.77
387,-7.46
388,-10.87
389,-16.3
390,-19.31
391,-15.15
392,-10.49
393,-3.14
394,-0.71
395,0.85
396,1.2
397,2.67
398,6.27
399,12.78
400,16.65
401,15.72
402,14.36
403,15.69
404,16.96
405,13.79
406,12.03
407,11.04
408,8.51
409,6.1
410,-2.79
411,-7.17
412,-11.46
413,-12.01
414,-17.08
415,-24.81
416,-31.44
417,-35.33
418,-46.66
419,-51.24
420,-57.96
421,-63.39
422,-66.21
423,-77.36
424,-78.59
425,-95.51
426,-109.91
427,-116.48
428,-118.25
429,-120.44
430,-119.42
