"Age, ka","Elevation, m"
0,8.49
1,7.63
2,4.01
3,4.35
4,3.13
5,0
6,-4.01
7,-6.11
8,-9.09
9,-15.83
10,-24.59
11,-35.85
12,-51.05
13,-66.3
14,-76.64
15,-86.57
16,-98.06
17,-107.3
18,-113.01
19,-116.68
20,-117.56
21,-120.01
22,-125.82
23,-128.72
24,-130
25,-126.89
26,-122.4
27,-118.28
28,-115.19
29,-110.87
30,-105.78
31,-103.5
32,-100.63
33,-97.48
34,-97.37
35,-98.83
36,-99.39
37,-95.27
38,-93.1
39,-90.3
40,-85.9
41,-79.76
42,-75.76
43,-73.91
44,-76.18
45,-74.49
46,-75.78
47,-73.7
48,-76.71
49,-73.75
50,-68.3
51,-63.11
52,-67.88
53,-68.85
54,-70.05
55,-72.26
56,-78.03
57,-82.74
58,-85.71
59,-82.94
60,-84.73
61,-86.56
62,-84.32
63,-84.75
64,-83.48
65,-82.72
66,-82.47
67,-79.37
68,-71.06
69,-68.11
70,-65.39
71,-51.43
72,-46.71
73,-43.84
74,-36.18
75,-33.06
76,-31.58
77,-27.69
78,-28.8
79,-32.95
80,-30.85
81,-31.36
82,-29.64
83,-25.57
84,-30.66
85,-29.99
86,-38.77
87,-43.09
88,-46.6
89,-43.44
90,-43.63
91,-40.3
92,-41.67
93,-42.16
94,-40.52
95,-34.24
96,-27.74
97,-22.19
98,-21.19
99,-17.26
100,-19.49
101,-17.72
102,-25.03
103,-29.47
104,-31.71
105,-34.36
106,-40.33
107,-45.01
108,-44.48
109,-45.95
110,-46.36
111,-47.08
112,-43.18
113,-38.93
114,-33.84
115,-26.17
116,-22.5
117,-14.09
118,-7.56
119,-4
120,2.68
121,3.13
122,2.27
123,1.2
124,-1.18
125,-6.65
126,-12.72
127,-27.1
128,-36.13
129,-52.95
130,-73.72
131,-82.93
132,-102.14
133,-114.38
134,-120.26
135,-123.76
136,-123.95
137,-123.61
138,-122.72
139,-120.94
140,-118.88
141,-113.45
142,-110.78
143,-106.75
144,-102.4
145,-100.34
146,-100.71
147,-99.52
148,-99.18
149,-96.94
150,-90.79
151,-86.92
152,-85.9
153,-85.22
154,-86.91
155,-89.71
156,-92.51
157,-92.67
158,-88.91
