"Age, ka","Elevation, m"
0,0
2,0
4,0
6,-13.1
8,-27.8
10,-120.6
12,-110.5
14,-161.7
16,-159.5
18,-154.4
20,-143.7
22,-132.6
24,-130
26,-120.4
28,-121.1
30,-125.4
32,-111.6
34,-112.1
36,-102.3
38,-104.2
40,-104.7
42,-109.5
44,-96.5
46,-101.1
48,-101.8
50,-101.8
52,-101.8
54,-92
56,-100.9
58,-102.8
60,-116
62,-122.2
64,-119.1
66,-124.9
68,-106.2
70,-92
72,-82.6
74,-82.6
76,-67.2
78,-60.5
80,-51.8
82,-54.7
84,-46.7
86,-54.7
88,-67.9
90,-97
92,-80.9
94,-64.8
96,-76.2
98,-64.8
100,-64.3
102,-53.3
104,-32.6
106,-43.2
108,-41.2
110,-55.7
112,-62.1
114,-79.7
116,-73.9
118,-67.2
120,-67.9
122,-32.6
124,-15.3
126,-4.4
128,15.3
130,-5.5
132,-56.3
134,-137.1
136,-149.4
138,-147
140,-156.6
142,-141.9
144,-146.1
146,-121.1
148,-123.7
150,-128.8
152,-101.8
154,-134
156,-122.7
158,-106.6
160,-113.4
162,-108.8
164,-108.6
166,-103.5
168,-98.3
170,-95.1
172,-100.9
174,-103.8
176,-113.4
178,-98.9
180,-106.2
182,-110.5
184,-111.2
186,-111.9
188,-95.1
190,-54
192,-62.9
194,-36.9
196,-37.1
198,-26.1
200,-20.7
202,-15.3
204,-30.7
206,-29.2
208,-27.8
210,-23.9
212,-25.9
214,-27.8
216,-22.2
218,-16.5
220,-13.7
222,-23.4
224,-33.1
226,-84
228,-94.8
230,-96.3
232,-98
234,-71.5
236,-91.2
238,-63.1
240,-41.2
242,-61.4
244,1.3
246,-61.7
248,-98.9
250,-85.5
252,-123.5
254,-124.9
256,-117.9
258,-115.8
260,-103.5
262,-104
264,-109.3
266,-108.1
268,-113.4
270,-120.1
272,-120.1
274,-109.7
276,-114.3
278,-107.6
280,-97.5
282,-87.4
284,-77.3
286,-68.9
288,-60.5
290,-68.2
292,-25.9
294,-79.7
296,-96.1
298,-107.6
300,-79.7
302,-101.8
304,-89.3
306,-75.4
308,-70.9
310,-66.2
312,-50.9
314,-97
316,-60.5
318,-23.9
320,-38.8
322,-26.3
324,-43.2
326,11.6
328,8.8
330,6.8
332,20.3
334,41.4
336,21
338,-48.9
340,-72.8
342,-96.7
344,-120.6
346,-147
348,-72
350,-128.8
352,-104.7
354,-115.3
356,-106.6
358,-119.1
360,-117.7
362,-116.2
364,-118.2
366,-120.1
368,-111
370,-96.1
372,-99.9
374,-102.8
376,-98.9
378,-83.8
380,-76.8
382,-97
384,-74.6
386,-89.3
388,-72
390,-59.2
392,-62.4
394,-60
396,-39.3
398,-55.7
400,-44.4
402,-6.6
404,21.7
406,-21.5
408,6.8
410,25.9
412,-0.6
414,-13.1
416,-73
418,-81.4
420,-79.7
422,-78
424,-162.3
426,-153.3
428,-109.8
430,-109.7
432,-129.6
434,-123.7
436,-128.8
438,-119.4
440,-118.6
442,-117.7
444,-94.1
446,-93.7
448,-93.2
450,-99.9
452,-106.6
454,-113.4
456,-123.9
458,-104
460,-84.2
462,-64.3
464,-108.6
466,-103.3
468,-90.5
470,-77.8
472,-80.7
474,-66.2
476,-61
478,-55.6
480,-50.3
482,-45
484,-39.6
486,-50.9
488,-13.8
490,-21.1
492,-28.3
494,-30.2
496,-32.6
498,-90.3
500,-63.7
502,-55.7
504,-57.6
506,-78.8
508,-59.8
510,-59
512,-61.4
514,-58.6
516,-57.6
518,-50.1
520,-58.6
522,-52.8
524,-69.4
526,-63.2
528,-80.9
530,-92.1
532,-106.9
534,-123.2
536,-115.1
