"Age, ka","Elevation, m"
0,0
2,-4
4,-1.2
6,-23
8,-35.2
10,-112.4
12,-104
14,-146.6
16,-144.8
18,-140.6
20,-131.6
22,-122.4
24,-120.2
26,-112.2
28,-112.8
30,-116.4
32,-105
34,-105.4
36,-97.2
38,-98.8
40,-99.2
42,-103.2
44,-92.4
46,-96.2
48,-96.8
50,-96.8
52,-96.8
54,-88.6
56,-96
58,-97.6
60,-108.6
62,-113.8
64,-111.2
66,-116
68,-100.4
70,-88.6
72,-80.8
74,-80.8
76,-68
78,-62.4
80,-55.2
82,-57.6
84,-51
86,-57.6
88,-68.6
90,-92.8
92,-79.4
94,-66
96,-75.4
98,-66
100,-65.6
102,-56.4
104,-39.2
106,-48
108,-46.4
110,-58.4
112,-63.8
114,-78.4
116,-73.6
118,-68
120,-68.6
122,-39.2
124,-24.8
126,-15.8
128,0.6
130,-16.6
132,-59
134,-126.2
136,-136.4
138,-134.4
140,-142.4
142,-130.2
144,-133.6
146,-112.8
148,-115
150,-119.2
152,-96.8
154,-123.6
156,-114.2
158,-100.8
160,-106.4
162,-102.6
164,-102.4
166,-98.2
168,-93.8
170,-91.2
172,-96
174,-98.4
176,-106.4
178,-94.4
180,-100.4
182,-104
184,-104.6
186,-105.2
188,-91.2
190,-57
192,-64.4
194,-42.8
196,-43
198,-33.8
200,-29.3
202,-24.8
204,-37.6
206,-36.4
208,-35.2
210,-32
212,-33.6
214,-35.2
216,-30.6
218,-25.8
220,-23.4
222,-31.5
224,-39.6
226,-82
228,-91
230,-92.2
232,-93.6
234,-71.6
236,-88
238,-64.6
240,-46.4
242,-63.2
244,-11
246,-63.4
248,-94.4
250,-83.2
252,-114.8
254,-116
256,-110.2
258,-108.4
260,-98.2
262,-98.6
264,-103
266,-102
268,-106.4
270,-112
272,-112
274,-103.4
276,-107.2
278,-101.6
280,-93.2
282,-84.8
284,-76.4
286,-69.4
288,-62.4
290,-68.8
292,-33.6
294,-78.4
296,-92
298,-101.6
300,-78.4
302,-96.8
304,-86.4
306,-74.8
308,-71
310,-67.2
312,-54.4
314,-92.8
316,-62.4
318,-32
320,-44.4
322,-34
324,-48
326,-2.4
328,-4.8
330,-6.4
332,4.8
334,22.4
336,5.4
338,-52.8
340,-72.6
342,-92.6
344,-112.4
346,-134.4
348,-72
350,-119.2
352,-99.2
354,-108
356,-100.8
358,-111.2
360,-110
362,-108.8
364,-110.4
366,-112
368,-104.4
370,-92
372,-95.2
374,-97.6
376,-94.4
378,-81.8
380,-76
382,-92.8
384,-74.2
386,-86.4
388,-72
390,-61.4
392,-64
394,-62
396,-44.8
398,-58.4
400,-49
402,-17.6
404,6
406,-30
408,-6.4
410,9.4
412,-12.6
414,-23
416,-72.8
418,-79.8
420,-78.4
422,-77
424,-147.1
426,-139.6
428,-103.4
430,-103.4
432,-119.9
434,-115
436,-119.2
438,-111.4
440,-110.7
442,-110
444,-90.4
446,-90
448,-89.6
450,-95.2
452,-100.8
454,-106.4
456,-115.2
458,-98.6
460,-82.2
462,-65.6
464,-102.4
466,-98
468,-87.4
470,-76.8
472,-79.2
474,-67.2
476,-62.8
478,-58.3
480,-53.9
482,-49.5
484,-45
486,-54.4
488,-23.6
490,-29.6
492,-35.6
494,-37.2
496,-39.2
498,-87.2
500,-65.1
502,-58.4
504,-60
506,-77.6
508,-61.8
510,-61.2
512,-63.2
514,-60.8
516,-60
518,-53.8
520,-60.8
522,-56
524,-69.8
526,-64.6
528,-79.4
530,-88.7
532,-101
534,-114.6
536,-107.8
538,-109.8
540,-106.4
542,-103.8
544,-94.6
546,-92
548,-78.4
550,-77.8
552,-86.4
554,-56
556,-63.2
558,-76
560,-16
562,-76.4
564,-50
566,-77.6
568,-51.4
570,-16
572,-29.8
574,-23.2
576,-18
578,-15.8
580,-3.2
582,-42.9
584,-77.6
586,-79.8
588,-83.6
590,-85
592,-112
594,-78.4
596,-67.2
598,-61
600,-67.9
602,-65.3
604,-56
606,-63.4
608,-51.2
610,-41.2
612,-49.2
614,-37.3
616,-24.7
618,-24.2
620,-33.8
622,-54.7
624,-102
626,-63.8
628,-139.2
630,-150.2
632,-149.4
634,-151.8
636,-143.4
638,-143
640,-136
642,-132.1
644,-132.4
646,-126.7
648,-120.6
650,-118.8
652,-122.9
654,-113.4
656,-116.2
658,-111.6
660,-109
662,-109.5
664,-110.4
666,-100.2
668,-119.2
670,-109.3
672,-99.9
674,-108
676,-100.2
678,-70.4
680,-92.8
682,-89
684,-95.2
686,-79.9
688,-44.8
690,-54.5
692,-64.4
694,-46.8
696,-47.4
698,-44.6
700,-33.4
702,-33.2
704,-40.6
706,-28
708,-36.5
710,-52.9
712,-55.6
714,-57.8
716,-51.2
718,-89
720,-81
722,-92.2
724,-102.8
726,-101.4
728,-88.1
730,-77.9
732,-68.7
734,-69
736,-69.3
738,-72.2
740,-79.9
742,-76
744,-104
746,-100.9
748,-116.8
750,-96.4
752,-105.2
754,-90.9
756,-99.6
758,-94.9
760,-92.8
762,-83.6
764,-86
766,-84.2
768,-66.7
770,-66.8
772,-71.1
774,-55.4
776,-49.3
778,-46.8
780,-21.8
782,-32.2
784,-38
786,-22.4
788,-8.7
790,-37.4
792,-47.8
794,-78.1
796,-108.4
798,-132
800,-124
802,-111
804,-113.6
806,-107.8
808,-91
810,-76.8
812,-91.7
814,-74.2
816,-67.8
818,-52.8
820,-48.6
822,-47.6
824,-31
826,-56.8
828,-55.4
830,-66
832,-53.2
834,-46.2
836,-48.3
838,-50.4
840,-81.2
842,-47.2
844,-41.4
846,-28.8
848,-22.4
850,-32.4
852,-10.8
854,-28.6
856,-45.2
858,-36.2
860,-30.7
862,-25.4
864,-20.6
866,-54.6
868,-114.4
870,-111.2
872,-125.2
874,-108.8
876,-122.6
878,-119.2
880,-100.5
882,-103.3
884,-106.2
886,-105.8
888,-105.6
890,-116
892,-103.6
894,-105.4
896,-107.2
898,-88.8
900,-91.2
902,-85.6
904,-73.2
906,-52.8
908,-76
910,-70.4
912,-58.6
914,-58
916,-54.4
918,-56.7
920,-62.4
922,-66.3
924,-84
926,-78.9
928,-110.6
930,-95.4
932,-87.5
934,-71.9
936,-72.4
938,-53.6
940,-61.2
942,-48.8
944,-41.9
946,-41.5
948,-38
950,-27
952,-15.8
954,-8.4
956,-7.1
958,2.5
960,9.4
962,6.7
964,-66.4
966,-30.6
968,-88.6
970,-83.5
972,-83.5
974,-61.2
976,-61.6
978,-49.9
980,-54
982,-37
984,-38.2
986,-65.2
988,-64.2
990,-60.4
992,-62.2
994,-72.7
996,-63.6
998,-48.6
1000,-40.6
1002,-39.6
1004,-42.2
1006,-59.5
1008,-52
1010,-62.7
1012,-65.8
1014,-62.6
1016,-67.2
1018,-48.2
1020,-47.6
1022,-30.5
1024,-26.4
1026,-36.8
1028,-30.3
1030,-41
1032,-48.2
1034,-71.4
1036,-83.2
1038,-95.4
1040,-94.8
1042,-76.6
1044,-90.5
1046,-86
1048,-83.7
1050,-88.8
1052,-84.7
1054,-81.8
1056,-80.2
1058,-65.2
1060,-50.1
1062,-35
1064,-42.5
1066,-30.4
1068,-21.6
1070,-1.1
1072,-11.2
1074,-7.9
1076,-20.8
1078,-33.6
1080,-25.8
1082,-40.6
1084,-56.4
1086,-49.4
1088,-55.6
1090,-65.3
1092,-54.4
1094,-50.6
1096,-60.4
1098,-68.8
1100,-96
1102,-77.6
1104,-55.3
1106,-68.2
1108,-49.2
1110,-64.2
1112,-34.7
1114,-56.4
1116,-37.4
1118,-54.9
1120,-54.4
1122,-83.4
1124,-105.6
1126,-97.9
1128,-86.2
1130,-67
1132,-85.4
1134,-90.9
1136,-85
1138,-60
1140,-56
1142,-58.8
1144,-61.5
1146,-57.2
1148,-52.8
1150,-52.4
1152,-52.1
1154,-40.8
1156,-20
1158,-37.6
1160,-16.8
1162,-25.5
1164,-16
1166,-23.3
1168,-18.4
1170,-16.6
1172,-39.4
1174,-26.4
1176,-29.9
1178,-30.2
1180,-26.6
1182,-31.3
1184,-31.6
1186,-31.2
1188,-82.1
1190,-86.5
1192,-97.1
1194,-103.4
1196,-108.8
1198,-91.3
1200,-100.4
1202,-97.4
1204,-89.5
1206,-77.4
1208,-78.4
1210,-54.4
1212,-62
1214,4
1216,-59.6
1218,-61
1220,-37
1222,-40.6
1224,-24
1226,-29.4
1228,-36.8
1230,-27
1232,-4
1234,-7.6
1236,-14.8
1238,4
1240,-22
1242,-21.6
1244,-18.4
1246,-72
1248,-86
1250,-100
1252,-98
1254,-96
1256,-116
1258,-68.8
1260,-69.6
1262,-56.8
1264,-54.2
1266,-51.6
1268,-52.8
1270,-54
1272,-43.2
1274,-42.4
1276,-41.6
1278,-31.2
1280,-21.2
1282,-25.8
1284,-31
1286,-53.6
1288,-50
1290,-50
1292,-69.6
1294,-63.2
1296,-66.8
1298,-70.4
1300,-33.6
1302,-64.8
1304,-60
1306,-62
1308,-50
1310,-38
1312,-35.4
1314,-38.4
1316,-30.6
1318,-37.4
1320,-54.6
1322,-57.8
1324,-68
1326,-65.2
1328,-72
1330,-100
1332,-44
1334,-70
1336,-61
1338,-52
1340,-47.6
1342,-43.2
1344,-32.4
1346,-41.6
1348,-50.8
1350,-6.4
1352,-44.8
1354,-16.8
1356,0.4
1358,23.2
1360,12
1362,-27.2
1364,-7.2
1366,-25.6
1368,-42.2
1370,-45
1372,-47.8
1374,-57.6
1376,-56
1378,-71.2
1380,-81.6
1382,-66.8
1384,-75.8
1386,-63.2
1388,-53.6
1390,-42.8
1392,1.6
1394,-35.2
1396,-24.8
1398,-29.2
1400,-16.4
1402,-10
1404,-11.2
1406,-41.6
1408,-47.2
1410,-75.2
1412,-65.2
1414,-75.6
1416,-70.6
1418,-54.8
1420,-56.4
1422,-58
1424,-34.6
1426,-16
1428,-39.6
1430,-11.2
1432,-13.6
1434,-6.4
1436,42.4
1438,25.6
1440,-7.2
1442,26.8
1444,9.6
1446,5.6
1448,12
1450,0
1452,-49.6
1454,-75.6
1456,-81
1458,-86.4
1460,-86.4
1462,-76.8
1464,-70.4
1466,-41.6
1468,-60
1470,-9.2
1472,-56
1474,-32.8
1476,-26.4
1478,-20
1480,-15.6
1482,-11.2
1484,-4
1486,24
1488,4.8
1490,12.4
1492,20
1494,6.4
1496,-7.2
1498,-5.9
1500,-4.6
1502,-3.4
1504,-2.1
1506,-0.8
1508,-12.8
1510,-24.8
1512,-36.8
1514,-48.8
1516,-41
1518,-33.4
1520,-24
1522,-42.8
1524,-13.6
1526,-32
1528,-40
1530,-83.4
1532,-48.8
1534,-70.8
1536,-39.2
1538,-52
1540,-64.8
1542,-60
1544,-27.4
1546,-35.4
1548,-43.2
1550,-31.2
1552,-44.8
1554,-58.4
1556,-49.6
1558,-50
1560,-50.4
1562,-4
1564,-27.6
